Order #,,Date/Time,Status,Order Type,Side,Symbol,Qty,Price,Cum Qty,,Leaves Qty
HCRG015280,, ,CANCELED,LMT,S,SQQQ,0,$0.00,0,,0
HCRG015280,, ,CANCELED,LMT,S,SQQQ,0,$0.00,0,,0
HCRG015280,, ,CANCELED,LMT,S,SQQQ,0,$0.00,0,,0
HCEY016984,, ,CANCELED,MKT,S,SQQQ,0,$0.00,0,,0
HGVW003064,, ,CANCELED,LMT,B,NIO,0,$0.00,0,,0
HFAM011388,, ,CANCELED,S,S,PYPL,0,$0.00,0,,0
HFWN011908,, ,CANCELED,S,S,NEP,0,$0.00,0,,0
HJXE019301,, ,CANCELED,S,S,NIO,0,$0.00,0,,0
HKGQ014920,, ,CANCELED,LMT,B,PYPL,0,$0.00,0,,0
HCUW012152,,2020-03-23T13:31:50.060Z,FILLED,LMT,B,SQQQ,10,$29.35,10,,0
HCJW011919,,2020-03-23T13:31:57.813Z,PARTIALLY_FILLED,MKT,B,SQQQ,17,$29.35,17,,1.55976243
HCJW011919,,2020-03-23T13:31:57.834Z,FILLED,MKT,B,SQQQ,0.03577512,$29.35,17.03577512,,0
HCNZ015548,,2020-03-25T13:31:50.177Z,FILLED,MKT,S,SQQQ,27,$22.61,27,,0
HDGR018250,,2020-04-20T13:30:08.551Z,FILLED,MKT,S,SQQQ,0.03577512,$12.94,0.03577512,,0
HDFJ019731,,2020-04-20T13:30:49.328Z,PARTIALLY_FILLED,MKT,B,QQQ,21,$213.36,21,,0.13172106
HDFJ019731,,2020-04-20T13:32:43.179Z,FILLED,MKT,B,QQQ,0.09111361,$213.36,21.09111361,,0
HEYY000044,,2020-05-01T13:30:15.212Z,FILLED,MKT,B,GOOGL,0.04463451,"$1,327.00",0.04463451,,0
HERP023076,,2020-05-22T13:30:12.974Z,PARTIALLY_FILLED,MKT,S,QQQ,21,$228.45,21,,0.09111361
HERP023076,,2020-05-22T13:31:21.262Z,FILLED,MKT,S,QQQ,0.09111361,$228.45,21.09111361,,0
HEAK026834,,2020-05-27T14:46:51.484Z,PARTIALLY_FILLED,MKT,B,MSFT,11,$176.94,11,,0.30326664
HEAK026834,,2020-05-27T14:46:51.686Z,FILLED,MKT,B,MSFT,0.30326664,$176.94,11.30326664,,0
HEPY026519,,2020-05-27T14:48:43.079Z,FILLED,MKT,B,GOOGL,0.35756682,"$1,398.34",0.35756682,,0
HEQE027513,,2020-05-27T14:50:42.759Z,FILLED,MKT,B,AMZN,0.42778186,"$2,337.64",0.42778186,,0
HEPG027702,,2020-05-27T14:59:10.972Z,PARTIALLY_FILLED,MKT,B,NEP,6,$49.49,6,,0.42836936
HEPG027702,,2020-05-27T14:59:11.218Z,FILLED,MKT,B,NEP,0.42836936,$49.49,6.42836936,,0
HEXK027537,,2020-05-27T15:03:05.153Z,PARTIALLY_FILLED,MKT,B,TQQQ,3,$74.25,3,,0.36791054
HEXK027537,,2020-05-27T15:03:05.348Z,FILLED,MKT,B,TQQQ,0.36700336,$74.25,3.36700336,,0
HECR028088,,2020-05-27T15:04:28.543Z,PARTIALLY_FILLED,MKT,B,QQQ,3,$224.66,3,,0.33837799
HECR028088,,2020-05-27T15:04:28.628Z,FILLED,MKT,B,QQQ,0.33837799,$224.66,3.33837799,,0
HECJ028321,,2020-05-28T13:46:49.159Z,FILLED,MKT,B,GPRO,1,$0.00,1,,0
HFEY005992,,2020-06-04T16:46:37.451Z,PARTIALLY_FILLED,MKT,S,TQQQ,3,$85.06,3,,0.36700336
HFEY005992,,2020-06-04T16:46:37.657Z,FILLED,MKT,S,TQQQ,0.36700336,$85.06,3.36700336,,0
HFCT006197,,2020-06-04T16:47:00.950Z,FILLED,MKT,S,GPRO,1,$4.68,1,,0
HFTS005896,,2020-06-04T16:50:00.898Z,FILLED,LMT,S,MSFT,11,$183.09,11,,0
HFHB009885,,2020-06-08T14:09:58.749Z,FILLED,S,S,QQQ,3,$237.99,3,,0
HFWQ011782,,2020-06-08T14:43:46.591Z,PARTIALLY_FILLED,LMT,B,PYPL,1,$155.30,1,,4
HFWQ011782,,2020-06-08T14:43:46.594Z,FILLED,LMT,B,PYPL,4,$155.30,5,,0
HFYP011813,,2020-06-08T15:42:18.491Z,FILLED,LMT,B,NEP,10,$52.71,10,,0
HFNY011916,,2020-06-08T15:46:39.993Z,FILLED,LMT,B,MFA,50,$3.44,50,,0
HFTT011904,,2020-06-08T16:10:14.655Z,PARTIALLY_FILLED,LMT,B,NVDA,1,$349.63,1,,1
HFTT011904,,2020-06-08T16:10:14.663Z,FILLED,LMT,B,NVDA,1,$349.63,2,,0
HFZH016622,,2020-06-10T15:18:15.981Z,FILLED,MKT,S,MFA,50,$2.75,50,,0
HFVS019317,,2020-06-11T14:38:21.020Z,PARTIALLY_FILLED,MKT,B,VOO,2,$285.95,2,,0.95201622
HFVS019317,,2020-06-11T14:38:21.241Z,FILLED,MKT,B,VOO,0.95180975,$285.95,2.95180975,,0
HFWN021681,,2020-06-12T16:15:33.029Z,FILLED,MKT,B,QQQ,0.58061383,$236.87,0.58061383,,0
HFUJ035538,,2020-06-26T13:39:01.082Z,FILLED,MKT,S,GOOGL,0.40220133,"$1,426.86",0.40220133,,0
HFZT036541,,2020-06-26T13:39:16.091Z,FILLED,MKT,S,MSFT,0.30326663,$199.11,0.30326663,,0
HFQW036154,,2020-06-26T13:40:00.465Z,PARTIALLY_FILLED,MKT,S,VOO,2,$282.33,2,,0.95180975
HFQW036154,,2020-06-26T13:40:00.689Z,FILLED,MKT,S,VOO,0.95180975,$282.33,2.95180975,,0
HFFS036998,,2020-06-26T13:40:19.422Z,FILLED,MKT,S,QQQ,0.91899182,$244.69,0.91899182,,0
HFSA036107,,2020-06-26T13:40:58.771Z,FILLED,MKT,S,NVDA,2,$374.12,2,,0
HFNY037110,,2020-06-29T13:30:01.012Z,PARTIALLY_FILLED,MKT,B,SPOT,1,$257.37,1,,0.59279105
HFNY037110,,2020-06-29T13:32:18.113Z,FILLED,MKT,B,SPOT,0.60535415,$257.37,1.60535415,,0
HGRD003866,,2020-07-06T13:43:18.497Z,PARTIALLY_FILLED,MKT,B,NIO,41,$12.17,41,,0.05090311
HGRD003866,,2020-07-06T13:43:18.687Z,FILLED,MKT,B,NIO,0.08627773,$12.17,41.08627773,,0
HGVY004452,,2020-07-06T15:06:40.482Z,PARTIALLY_FILLED,MKT,B,QQQ,7,$258.18,7,,0.51704237
HGVY004452,,2020-07-06T15:06:40.540Z,FILLED,MKT,B,QQQ,0.51704237,$258.18,7.51704237,,0
HGAY017250,,2020-07-16T15:03:41.726Z,FILLED,MKT,S,AMZN,0.42778186,"$2,920.51",0.42778186,,0
HGVG020183,,2020-07-20T13:58:34.920Z,FILLED,LMT,B,PYPL,2,$175.77,2,,0
HGXC027146,,2020-07-27T13:30:01.202Z,PARTIALLY_FILLED,MKT,B,MSFT,4,$201.38,4,,0.43119447
HGXC027146,,2020-07-27T13:33:03.579Z,FILLED,MKT,B,MSFT,0.45803952,$201.38,4.45803952,,0
HGKB033286,,2020-07-31T13:30:00.972Z,PARTIALLY_FILLED,MKT,S,SPOT,1,$264.63,1,,0.60535415
HGKB033286,,2020-07-31T13:31:30.039Z,FILLED,MKT,S,SPOT,0.60535415,$264.63,1.60535415,,0
HHCQ006516,,2020-08-06T15:09:04.091Z,PARTIALLY_FILLED,MKT,B,QQQ,1,$271.52,1,,0.56568334
HHCQ006516,,2020-08-06T15:09:04.304Z,FILLED,MKT,B,QQQ,0.56574101,$271.52,1.56574101,,0
HHHF018965,,2020-08-18T14:02:16.794Z,PARTIALLY_FILLED,MKT,B,QQQ,3,$276.69,3,,0.1096534
HHHF018965,,2020-08-18T14:02:17.021Z,FILLED,MKT,B,QQQ,0.1096534,$276.69,3.1096534,,0
HIUP025472,,2020-09-21T13:30:00.553Z,FILLED,LMT,B,PYPL,2,$174.84,2,,0
HITZ025243,,2020-09-21T13:30:27.391Z,FILLED,MKT,B,MSFT,0.98390362,$197.56,0.98390362,,0
HJGH011589,,2020-10-12T13:30:20.086Z,FILLED,MKT,B,QQQ,0.54304521,$290.16,0.54304521,,0
HJPS011605,,2020-10-12T13:43:16.579Z,FILLED,LMT,B,PYPL,1,$197.60,1,,0
HJMA024823,,2020-10-22T13:30:01.724Z,PARTIALLY_FILLED,MKT,B,ICLN,27,$20.18,27,,0.58431372
HJMA024823,,2020-10-22T13:30:26.932Z,FILLED,MKT,B,ICLN,0.88503468,$20.18,27.88503468,,0
HJVJ019345,,2020-10-26T17:31:00.298Z,FILLED,S,S,NIO,41,$25.51,41,,0
HJEZ030238,,2020-10-27T13:59:14.839Z,PARTIALLY_FILLED,MKT,B,ICLN,22,$19.90,22,,0.61306532
HJEZ030238,,2020-10-27T13:59:15.551Z,FILLED,MKT,B,ICLN,0.61306532,$19.90,22.61306532,,0
HJDB031235,,2020-10-27T14:00:27.114Z,PARTIALLY_FILLED,MKT,B,NIO,14,$27.23,14,,0.68968049
HJDB031235,,2020-10-27T14:00:27.326Z,FILLED,MKT,B,NIO,0.68968049,$27.23,14.68968049,,0
HJZU031273,,2020-10-27T14:01:02.822Z,FILLED,MKT,B,QQQ,0.69562129,$281.59,0.69562129,,0
HJYD019540,,2020-10-30T14:16:50.072Z,FILLED,S,S,PYPL,10,$189.76,10,,0
HKCF001741,,2020-11-03T14:30:00.356Z,PARTIALLY_FILLED,MKT,B,ICLN,37,$20.03,37,,0.38783649
HKCH001647,,2020-11-03T14:30:00.898Z,PARTIALLY_FILLED,MKT,B,QQQ,3,$271.96,3,,0.31284278
HKCF001741,,2020-11-03T14:30:02.746Z,FILLED,MKT,B,ICLN,0.44383424,$20.03,37.44383424,,0
HKCH001647,,2020-11-03T14:30:31.190Z,FILLED,MKT,B,QQQ,0.30931019,$271.96,3.30931019,,0
HKVV003081,,2020-11-03T20:29:31.153Z,FILLED,LMT,B,PYPL,1,$180.12,1,,0
HKDZ003158,,2020-11-03T20:33:49.268Z,FILLED,MKT,B,MSFT,0.34500241,$207.10,0.34500241,,0
HKPX014977,,2020-11-10T20:42:25.089Z,FILLED,LMT,B,PYPL,4,$182.88,4,,0
HKQQ015921,,2020-11-10T20:44:39.000Z,PARTIALLY_FILLED,MKT,B,ICLN,13,$21.15,13,,0.04586288
HKQQ015921,,2020-11-10T20:44:39.583Z,FILLED,MKT,B,ICLN,0.04586288,$21.15,13.04586288,,0
